generated,ZINC000018043251,ZINC000000897089,ZINC000000537964,ZINC000019796168,ZINC000013818943,ZINC000000608213,ZINC000000002226,ZINC000001530968,ZINC000000538275,ZINC000013763987,ZINC000000591993,ZINC000019632706,ZINC000000001084,ZINC000003874185,ZINC000019632912,ZINC000004340269,ZINC000000057674,ZINC000001530689,ZINC000000001290,ZINC000000897085,ZINC000003869685,ZINC000003807804,ZINC000000403567,ZINC000003871576,ZINC000000607971,ZINC000000896740,ZINC000000596881,ZINC000000643055,ZINC000085205448
0.sdf,0.073171,0.084746,0.084746,0.053333,0.069444,0.117647,0.068182,0.117647,0.112903,0.097561,0.140351,0.140351,0.075000,0.084746,0.122449,0.097561,0.189189,0.152174,0.161290,0.084746,0.155556,0.136364,0.063830,0.166667,0.052632,0.052632,0.052632,0.052632,0.170213
1.sdf,0.166667,0.095238,0.095238,0.090909,0.078947,0.048780,0.083333,0.075000,0.072464,0.063830,0.129032,0.129032,0.116279,0.095238,0.111111,0.041667,0.166667,0.094340,0.078947,0.095238,0.096154,0.145833,0.170213,0.102041,0.083333,0.083333,0.083333,0.083333,0.153846
10.sdf,0.103448,0.105263,0.105263,0.087912,0.089888,0.094340,0.135593,0.094340,0.085366,0.140351,0.103896,0.103896,0.086207,0.105263,0.056338,0.048387,0.084746,0.106061,0.098039,0.105263,0.090909,0.029412,0.129032,0.095238,0.052632,0.052632,0.052632,0.052632,0.102941
100.sdf,0.109589,0.122222,0.122222,0.126214,0.085714,0.071429,0.076923,0.119403,0.177778,0.064935,0.146067,0.146067,0.111111,0.122222,0.108434,0.051282,0.109589,0.097561,0.123077,0.122222,0.141026,0.060976,0.101266,0.131579,0.114943,0.114943,0.114943,0.114943,0.135802
101.sdf,0.102941,0.104651,0.104651,0.145833,0.102041,0.061538,0.054054,0.078125,0.162791,0.117647,0.103448,0.103448,0.104478,0.104651,0.102564,0.070423,0.086957,0.120000,0.155172,0.104651,0.077922,0.080000,0.109589,0.081081,0.083333,0.083333,0.109756,0.109756,0.102564
102.sdf,0.101449,0.078652,0.078652,0.121212,0.123711,0.076923,0.053333,0.093750,0.147727,0.115942,0.089888,0.089888,0.102941,0.078652,0.101266,0.069444,0.070423,0.118421,0.152542,0.078652,0.076923,0.093333,0.108108,0.080000,0.069767,0.069767,0.095238,0.095238,0.087500
103.sdf,0.102941,0.079545,0.079545,0.122449,0.090909,0.078125,0.114286,0.095238,0.149425,0.085714,0.116279,0.116279,0.104478,0.079545,0.102564,0.055556,0.086957,0.090909,0.155172,0.079545,0.121622,0.065789,0.109589,0.142857,0.137500,0.137500,0.109756,0.109756,0.116883
104.sdf,0.072464,0.105882,0.105882,0.090000,0.059406,0.046154,0.084507,0.046154,0.087912,0.056338,0.091954,0.091954,0.057971,0.105882,0.049383,0.027397,0.174603,0.064103,0.047619,0.105882,0.108108,0.066667,0.081081,0.112676,0.058824,0.058824,0.058824,0.058824,0.103896
105.sdf,0.111111,0.086957,0.086957,0.150000,0.097087,0.121212,0.121622,0.104478,0.141304,0.065789,0.097826,0.097826,0.112676,0.086957,0.083333,0.065789,0.066667,0.085366,0.090909,0.086957,0.113924,0.061728,0.116883,0.103896,0.103448,0.103448,0.116279,0.116279,0.096386
106.sdf,0.086957,0.104651,0.104651,0.089109,0.069307,0.150000,0.068493,0.112903,0.123596,0.070423,0.090909,0.090909,0.088235,0.104651,0.075000,0.055556,0.071429,0.063291,0.116667,0.104651,0.169014,0.065789,0.065789,0.142857,0.083333,0.083333,0.083333,0.083333,0.102564
107.sdf,0.097222,0.151163,0.151163,0.117647,0.098039,0.073529,0.108108,0.057971,0.106383,0.081081,0.123596,0.123596,0.068493,0.151163,0.097561,0.066667,0.144928,0.113924,0.092308,0.151163,0.101266,0.075949,0.089744,0.105263,0.055556,0.055556,0.055556,0.055556,0.139241
108.sdf,0.100000,0.154762,0.154762,0.131313,0.089109,0.126984,0.081081,0.109375,0.133333,0.098592,0.126437,0.126437,0.117647,0.154762,0.113924,0.083333,0.115942,0.116883,0.112903,0.154762,0.089744,0.121622,0.121622,0.093333,0.107143,0.107143,0.107143,0.107143,0.128205
109.sdf,0.112676,0.100000,0.100000,0.151515,0.098039,0.057971,0.138889,0.057971,0.083333,0.052632,0.098901,0.098901,0.130435,0.100000,0.184211,0.052632,0.128571,0.086420,0.075758,0.100000,0.087500,0.103896,0.103896,0.090909,0.104651,0.104651,0.091954,0.091954,0.097561
11.sdf,0.122807,0.120000,0.120000,0.112360,0.089888,0.094340,0.175439,0.094340,0.186667,0.101695,0.133333,0.133333,0.105263,0.120000,0.136364,0.065574,0.185185,0.106061,0.166667,0.120000,0.161290,0.093750,0.111111,0.189655,0.081081,0.081081,0.081081,0.081081,0.153846
110.sdf,0.067568,0.076087,0.076087,0.075472,0.131313,0.089552,0.078947,0.123077,0.094737,0.081081,0.123596,0.123596,0.054054,0.076087,0.084337,0.095890,0.082192,0.113924,0.126984,0.076087,0.101266,0.036585,0.075949,0.090909,0.043956,0.043956,0.043956,0.043956,0.125000
111.sdf,0.106667,0.107527,0.107527,0.145631,0.126214,0.054795,0.061728,0.069444,0.125000,0.050000,0.130435,0.130435,0.093333,0.107527,0.119048,0.090909,0.064103,0.095238,0.086957,0.107527,0.058140,0.059524,0.126582,0.060241,0.100000,0.100000,0.100000,0.100000,0.119048
112.sdf,0.106061,0.094118,0.094118,0.102041,0.104167,0.063492,0.134328,0.080645,0.101124,0.072464,0.132530,0.132530,0.107692,0.094118,0.150685,0.072464,0.140625,0.123288,0.101695,0.094118,0.094595,0.112676,0.097222,0.098592,0.098765,0.098765,0.085366,0.085366,0.135135
113.sdf,0.080000,0.147727,0.147727,0.115385,0.106796,0.071429,0.090909,0.102941,0.127660,0.064935,0.120879,0.120879,0.081081,0.147727,0.121951,0.064935,0.094595,0.084337,0.123077,0.147727,0.141026,0.060976,0.101266,0.131579,0.089888,0.089888,0.089888,0.089888,0.108434
114.sdf,0.085714,0.129412,0.129412,0.110000,0.058252,0.129032,0.097222,0.076923,0.160920,0.054795,0.054348,0.054348,0.086957,0.129412,0.087500,0.069444,0.134328,0.049383,0.046154,0.129412,0.076923,0.078947,0.064935,0.094595,0.121951,0.121951,0.121951,0.121951,0.060976
115.sdf,0.098592,0.113636,0.113636,0.097087,0.088235,0.043478,0.080000,0.043478,0.072917,0.082192,0.112360,0.112360,0.100000,0.113636,0.072289,0.053333,0.098592,0.074074,0.093750,0.113636,0.088608,0.063291,0.076923,0.092105,0.044444,0.044444,0.044444,0.044444,0.126582
116.sdf,0.101449,0.142857,0.142857,0.132653,0.068627,0.076923,0.128571,0.044776,0.160920,0.054795,0.077778,0.077778,0.119403,0.142857,0.115385,0.040541,0.134328,0.062500,0.062500,0.142857,0.076923,0.051282,0.078947,0.094595,0.057471,0.057471,0.057471,0.057471,0.087500
117.sdf,0.106061,0.094118,0.094118,0.090909,0.104167,0.098361,0.101449,0.098361,0.166667,0.072464,0.105882,0.105882,0.107692,0.094118,0.105263,0.057143,0.123077,0.078947,0.120690,0.094118,0.191176,0.067568,0.097222,0.164179,0.072289,0.072289,0.072289,0.072289,0.120000
118.sdf,0.109589,0.122222,0.122222,0.126214,0.085714,0.071429,0.076923,0.119403,0.164835,0.078947,0.159091,0.159091,0.111111,0.122222,0.108434,0.064935,0.109589,0.111111,0.140625,0.122222,0.141026,0.060976,0.101266,0.131579,0.127907,0.127907,0.127907,0.127907,0.150000
119.sdf,0.126761,0.111111,0.111111,0.116505,0.086538,0.072464,0.121622,0.088235,0.141304,0.065789,0.097826,0.097826,0.112676,0.111111,0.109756,0.065789,0.081081,0.072289,0.142857,0.111111,0.113924,0.061728,0.116883,0.133333,0.103448,0.103448,0.090909,0.090909,0.096386
12.sdf,0.112903,0.085366,0.085366,0.118280,0.085106,0.086207,0.058824,0.105263,0.105882,0.060606,0.097561,0.097561,0.114754,0.085366,0.095890,0.060606,0.078125,0.068493,0.109091,0.085366,0.115942,0.171875,0.119403,0.104478,0.250000,0.250000,0.214286,0.214286,0.095890
120.sdf,0.053333,0.087912,0.087912,0.085714,0.108911,0.123077,0.078947,0.123077,0.083333,0.095890,0.123596,0.123596,0.054054,0.087912,0.058824,0.081081,0.082192,0.086420,0.092308,0.087912,0.101266,0.075949,0.062500,0.090909,0.144578,0.144578,0.144578,0.144578,0.125000
121.sdf,0.065789,0.074468,0.074468,0.074074,0.128713,0.086957,0.076923,0.102941,0.092784,0.078947,0.120879,0.120879,0.052632,0.074468,0.082353,0.093333,0.080000,0.111111,0.123077,0.074468,0.112500,0.035714,0.074074,0.088608,0.043011,0.043011,0.043011,0.043011,0.121951
122.sdf,0.121622,0.119565,0.119565,0.145631,0.115385,0.040541,0.102564,0.054795,0.102041,0.050000,0.118280,0.118280,0.123288,0.119565,0.105882,0.076923,0.050633,0.082353,0.086957,0.119565,0.070588,0.047059,0.126582,0.073171,0.087912,0.087912,0.087912,0.087912,0.093023
123.sdf,0.109589,0.097826,0.097826,0.126214,0.055556,0.041667,0.063291,0.056338,0.070707,0.064935,0.120879,0.120879,0.111111,0.097826,0.108434,0.025000,0.080000,0.097561,0.073529,0.097826,0.059524,0.060976,0.129870,0.061728,0.089888,0.089888,0.089888,0.089888,0.108434
124.sdf,0.102941,0.144578,0.144578,0.122449,0.125000,0.061538,0.083333,0.095238,0.162791,0.101449,0.129412,0.129412,0.121212,0.144578,0.131579,0.055556,0.136364,0.166667,0.135593,0.144578,0.092105,0.094595,0.125000,0.095890,0.070588,0.070588,0.083333,0.083333,0.131579
125.sdf,0.083333,0.088889,0.088889,0.107843,0.099010,0.074627,0.094595,0.090909,0.157303,0.067568,0.125000,0.125000,0.100000,0.088889,0.112500,0.053333,0.098592,0.087500,0.147541,0.088889,0.131579,0.076923,0.090909,0.152778,0.119048,0.119048,0.119048,0.119048,0.126582
126.sdf,0.083333,0.088889,0.088889,0.130000,0.057143,0.074627,0.065789,0.074627,0.107527,0.053333,0.053191,0.053191,0.100000,0.088889,0.072289,0.053333,0.098592,0.048193,0.076923,0.088889,0.102564,0.063291,0.076923,0.106667,0.093023,0.093023,0.093023,0.093023,0.059524
127.sdf,0.088235,0.119048,0.119048,0.090000,0.070000,0.046154,0.084507,0.046154,0.087912,0.071429,0.079545,0.079545,0.073529,0.119048,0.062500,0.041667,0.156250,0.064103,0.047619,0.119048,0.108108,0.081081,0.095890,0.112676,0.071429,0.071429,0.084337,0.084337,0.089744
128.sdf,0.057971,0.068966,0.068966,0.113402,0.115789,0.116667,0.070423,0.135593,0.166667,0.104478,0.146341,0.146341,0.074627,0.068966,0.090909,0.088235,0.073529,0.171429,0.181818,0.068966,0.109589,0.039474,0.082192,0.098592,0.072289,0.072289,0.072289,0.072289,0.150685
129.sdf,0.102941,0.104651,0.104651,0.111111,0.090909,0.061538,0.114286,0.078125,0.111111,0.070423,0.116279,0.116279,0.104478,0.104651,0.131579,0.041096,0.136364,0.105263,0.098361,0.104651,0.092105,0.094595,0.109589,0.095890,0.096386,0.096386,0.083333,0.083333,0.116883
13.sdf,0.066667,0.120000,0.120000,0.053191,0.077778,0.074074,0.098361,0.074074,0.098765,0.140351,0.089744,0.089744,0.050000,0.120000,0.056338,0.048387,0.049180,0.089552,0.076923,0.120000,0.058824,0.044776,0.076923,0.061538,0.038961,0.038961,0.038961,0.038961,0.102941
130.sdf,0.121622,0.144444,0.144444,0.123810,0.084112,0.069444,0.075000,0.084507,0.113402,0.063291,0.118280,0.118280,0.138889,0.144444,0.132530,0.050000,0.106667,0.108434,0.136364,0.144444,0.123457,0.072289,0.126582,0.100000,0.064516,0.064516,0.064516,0.064516,0.119048
131.sdf,0.093333,0.096774,0.096774,0.125000,0.064815,0.041096,0.075949,0.027027,0.080808,0.050633,0.084211,0.084211,0.094595,0.096774,0.068966,0.024691,0.093333,0.070588,0.072464,0.096774,0.071429,0.060241,0.073171,0.074074,0.065217,0.065217,0.065217,0.065217,0.094118
132.sdf,0.119403,0.104651,0.104651,0.145833,0.090909,0.061538,0.114286,0.078125,0.086957,0.070423,0.129412,0.129412,0.121212,0.104651,0.146667,0.041096,0.136364,0.105263,0.098361,0.104651,0.092105,0.094595,0.140845,0.095890,0.096386,0.096386,0.083333,0.083333,0.131579
14.sdf,0.083333,0.103896,0.103896,0.086957,0.101124,0.072727,0.096774,0.092593,0.097561,0.118644,0.116883,0.116883,0.084746,0.103896,0.070423,0.064516,0.101695,0.121212,0.096154,0.103896,0.089552,0.044118,0.092308,0.093750,0.051948,0.051948,0.065789,0.065789,0.117647
15.sdf,0.163934,0.109756,0.109756,0.127660,0.106383,0.048387,0.072464,0.048387,0.090909,0.074627,0.095238,0.095238,0.129032,0.109756,0.064935,0.058824,0.059701,0.052632,0.067797,0.109756,0.082192,0.054795,0.166667,0.070423,0.048193,0.048193,0.048193,0.048193,0.108108
16.sdf,0.131148,0.085366,0.085366,0.130435,0.133333,0.050000,0.107692,0.067797,0.080460,0.060606,0.111111,0.111111,0.133333,0.085366,0.095890,0.076923,0.078125,0.083333,0.089286,0.085366,0.069444,0.056338,0.153846,0.072464,0.062500,0.062500,0.062500,0.062500,0.111111
17.sdf,0.098361,0.115385,0.115385,0.096774,0.111111,0.070175,0.147541,0.089286,0.082353,0.133333,0.128205,0.128205,0.081967,0.115385,0.068493,0.046154,0.080645,0.101449,0.092593,0.115385,0.086957,0.028169,0.123077,0.090909,0.050633,0.050633,0.050633,0.050633,0.130435
18.sdf,0.101695,0.148649,0.148649,0.098901,0.126437,0.072727,0.096774,0.072727,0.125000,0.081967,0.116883,0.116883,0.103448,0.148649,0.134328,0.100000,0.083333,0.088235,0.117647,0.148649,0.106061,0.126984,0.092308,0.111111,0.080000,0.080000,0.080000,0.080000,0.134328
19.sdf,0.045455,0.112500,0.112500,0.072165,0.062500,0.105263,0.090909,0.086207,0.146341,0.076923,0.084337,0.084337,0.046154,0.112500,0.052632,0.029412,0.078125,0.083333,0.173077,0.112500,0.132353,0.041667,0.041667,0.156250,0.062500,0.062500,0.062500,0.062500,0.095890
2.sdf,0.093023,0.080645,0.080645,0.123288,0.081081,0.108108,0.063830,0.138889,0.285714,0.116279,0.114754,0.114754,0.095238,0.080645,0.115385,0.043478,0.068182,0.333333,0.392857,0.080645,0.122449,0.060000,0.152174,0.181818,0.105263,0.105263,0.105263,0.105263,0.115385
20.sdf,0.048387,0.133333,0.133333,0.075269,0.088889,0.092593,0.062500,0.092593,0.139241,0.081967,0.162162,0.162162,0.066667,0.133333,0.117647,0.064516,0.160714,0.174603,0.096154,0.133333,0.089552,0.109375,0.075758,0.093750,0.094595,0.094595,0.109589,0.109589,0.169231
21.sdf,0.135593,0.074074,0.074074,0.108696,0.123596,0.033898,0.111111,0.016667,0.082353,0.046154,0.086420,0.086420,0.118644,0.074074,0.083333,0.096774,0.063492,0.041096,0.035088,0.074074,0.056338,0.042857,0.123077,0.058824,0.037500,0.037500,0.050633,0.050633,0.098592
22.sdf,0.196721,0.134146,0.134146,0.186813,0.127660,0.098361,0.151515,0.098361,0.126437,0.072464,0.105882,0.105882,0.161290,0.134146,0.120000,0.072464,0.089552,0.093333,0.120690,0.134146,0.140845,0.067568,0.385965,0.130435,0.072289,0.072289,0.072289,0.072289,0.105263
23.sdf,0.061538,0.126582,0.126582,0.083333,0.096774,0.086207,0.107692,0.086207,0.146341,0.111111,0.184211,0.184211,0.079365,0.126582,0.095890,0.060606,0.112903,0.164179,0.109091,0.126582,0.084507,0.086957,0.071429,0.088235,0.103896,0.103896,0.089744,0.089744,0.194030
24.sdf,0.046154,0.113924,0.113924,0.072917,0.086022,0.107143,0.059701,0.107143,0.162500,0.078125,0.155844,0.155844,0.063492,0.113924,0.082192,0.061538,0.114754,0.149254,0.111111,0.113924,0.117647,0.088235,0.057143,0.123077,0.105263,0.105263,0.090909,0.090909,0.161765
25.sdf,0.086957,0.104651,0.104651,0.111111,0.125000,0.112903,0.098592,0.112903,0.136364,0.055556,0.103448,0.103448,0.072464,0.104651,0.075000,0.070423,0.071429,0.076923,0.135593,0.104651,0.106667,0.051948,0.109589,0.095890,0.070588,0.070588,0.058140,0.058140,0.102564
26.sdf,0.101449,0.116279,0.116279,0.121212,0.135417,0.076923,0.082192,0.093750,0.188235,0.084507,0.154762,0.154762,0.086957,0.116279,0.074074,0.054795,0.101449,0.164384,0.096774,0.116279,0.105263,0.051282,0.108108,0.109589,0.108434,0.108434,0.108434,0.108434,0.160000
27.sdf,0.071429,0.091954,0.091954,0.111111,0.125000,0.078125,0.098592,0.078125,0.190476,0.085714,0.116279,0.116279,0.072464,0.091954,0.061728,0.055556,0.119403,0.150685,0.080645,0.091954,0.136986,0.038462,0.094595,0.142857,0.096386,0.096386,0.096386,0.096386,0.116883
28.sdf,0.062500,0.113924,0.113924,0.107527,0.086022,0.087719,0.092308,0.127273,0.148148,0.095238,0.126582,0.126582,0.063492,0.113924,0.144928,0.045455,0.096774,0.115942,0.132075,0.113924,0.101449,0.088235,0.072464,0.106061,0.090909,0.090909,0.090909,0.090909,0.128571
29.sdf,0.121212,0.119048,0.119048,0.135417,0.059406,0.046154,0.115942,0.046154,0.164706,0.071429,0.091954,0.091954,0.106061,0.119048,0.075949,0.027397,0.156250,0.050633,0.064516,0.119048,0.123288,0.052632,0.111111,0.128571,0.058824,0.058824,0.071429,0.071429,0.103896
3.sdf,0.130435,0.107692,0.107692,0.101266,0.062500,0.069767,0.078431,0.069767,0.100000,0.081633,0.140625,0.140625,0.108696,0.107692,0.105263,0.060000,0.155556,0.109091,0.100000,0.107692,0.111111,0.115385,0.115385,0.117647,0.062500,0.062500,0.062500,0.062500,0.166667
30.sdf,0.109375,0.137500,0.137500,0.115789,0.094737,0.083333,0.088235,0.120690,0.142857,0.074627,0.121951,0.121951,0.111111,0.137500,0.123288,0.058824,0.109375,0.095890,0.145455,0.137500,0.144928,0.069444,0.115942,0.134328,0.101266,0.101266,0.101266,0.101266,0.108108
31.sdf,0.060606,0.111111,0.111111,0.082474,0.095745,0.084746,0.106061,0.084746,0.144578,0.109375,0.151899,0.151899,0.078125,0.111111,0.065789,0.059701,0.076923,0.128571,0.107143,0.111111,0.083333,0.055556,0.070423,0.086957,0.116883,0.116883,0.088608,0.088608,0.157143
32.sdf,0.106061,0.134146,0.134146,0.113402,0.104167,0.063492,0.085714,0.080645,0.126437,0.072464,0.105882,0.105882,0.125000,0.134146,0.090909,0.057143,0.089552,0.108108,0.120690,0.134146,0.080000,0.053333,0.144928,0.083333,0.072289,0.072289,0.059524,0.059524,0.105263
33.sdf,0.102941,0.158537,0.158537,0.100000,0.058824,0.045455,0.114286,0.061538,0.111111,0.070423,0.103448,0.103448,0.088235,0.158537,0.061728,0.027027,0.153846,0.076923,0.063492,0.158537,0.106667,0.065789,0.094595,0.111111,0.058140,0.058140,0.058140,0.058140,0.116883
34.sdf,0.072464,0.105882,0.105882,0.090000,0.103093,0.096774,0.100000,0.096774,0.125000,0.056338,0.117647,0.117647,0.073529,0.105882,0.075949,0.056338,0.088235,0.050633,0.100000,0.105882,0.108108,0.038961,0.066667,0.112676,0.084337,0.084337,0.071429,0.071429,0.103896
35.sdf,0.119403,0.104651,0.104651,0.122449,0.136842,0.045455,0.098592,0.078125,0.086957,0.070423,0.129412,0.129412,0.121212,0.104651,0.102564,0.085714,0.086957,0.105263,0.098361,0.104651,0.077922,0.065789,0.140845,0.081081,0.058140,0.058140,0.058140,0.058140,0.131579
36.sdf,0.131148,0.098765,0.098765,0.106383,0.108696,0.067797,0.125000,0.086207,0.093023,0.076923,0.125000,0.125000,0.133333,0.098765,0.142857,0.044776,0.150000,0.130435,0.109091,0.098765,0.100000,0.119403,0.102941,0.104478,0.103896,0.103896,0.103896,0.103896,0.126761
37.sdf,0.112676,0.100000,0.100000,0.151515,0.108911,0.028169,0.093333,0.057971,0.106383,0.038961,0.162791,0.162791,0.114286,0.100000,0.125000,0.111111,0.039474,0.073171,0.075758,0.100000,0.048193,0.036585,0.118421,0.050000,0.079545,0.079545,0.079545,0.079545,0.111111
