,BINODENOSON,TOZADENANT,VIPADENANT,EVODENOSON,ISTRADEFYLLINE,APADENOSON,SONEDENOSON,UK432097,ETRUMADENANT,SIPAGLADENANT,ST1535,CIFORADENANT,BVT.115959,AMP579
Gen_1,0.09836065573770492,0.10084033613445378,0.058823529411764705,0.11450381679389313,0.08771929824561403,0.1328125,0.1,0.10204081632653061,0.0546875,0.08130081300813008,0.06481481481481481,0.104,0.0990990990990991,0.1349206349206349
Gen_2,0.09649122807017543,0.08928571428571429,0.06363636363636363,0.06201550387596899,0.07476635514018691,0.07086614173228346,0.09821428571428571,0.07746478873239436,0.06779661016949153,0.08771929824561403,0.04950495049504951,0.075,0.0761904761904762,0.12605042016806722
Gen_3,0.09565217391304348,0.12844036697247707,0.09259259259259259,0.11290322580645161,0.08411214953271028,0.11382113821138211,0.11711711711711711,0.14074074074074075,0.08547008547008547,0.12612612612612611,0.07,0.1111111111111111,0.08571428571428572,0.15384615384615385
Gen_4,0.06363636363636363,0.05555555555555555,0.09,0.08403361344537816,0.11458333333333333,0.0847457627118644,0.06481481481481481,0.0661764705882353,0.06306306306306306,0.07407407407407407,0.06521739130434782,0.11009174311926606,0.06060606060606061,0.09565217391304348
Gen_5,0.08653846153846154,0.1,0.10526315789473684,0.12612612612612611,0.10752688172043011,0.1588785046728972,0.14432989690721648,0.128,0.07547169811320754,0.10891089108910891,0.09302325581395349,0.11428571428571428,0.12222222222222222,0.12962962962962962
Gen_6,0.06796116504854369,0.12631578947368421,0.07368421052631578,0.0990990990990991,0.08695652173913043,0.1,0.08,0.08661417322834646,0.0673076923076923,0.07920792079207921,0.04597701149425287,0.08571428571428572,0.10112359550561797,0.11214953271028037
Gen_7,0.07317073170731707,0.10256410256410256,0.08771929824561403,0.09923664122137404,0.0990990990990991,0.1,0.1206896551724138,0.0958904109589041,0.07258064516129033,0.06504065040650407,0.0761904761904762,0.07936507936507936,0.09090909090909091,0.09302325581395349
Gen_8,0.10101010101010101,0.09278350515463918,0.10989010989010989,0.11009174311926606,0.125,0.12149532710280374,0.09183673469387756,0.096,0.1111111111111111,0.10204081632653061,0.07142857142857142,0.10784313725490197,0.07777777777777778,0.12380952380952381
Gen_9,0.09803921568627451,0.09,0.09473684210526316,0.09734513274336283,0.0967741935483871,0.09821428571428571,0.15789473684210525,0.1111111111111111,0.1188118811881188,0.09900990099009901,0.08139534883720931,0.10476190476190476,0.12359550561797752,0.14150943396226415
Gen_10,0.04950495049504951,0.10752688172043011,0.053763440860215055,0.06306306306306306,0.09090909090909091,0.06363636363636363,0.08333333333333333,0.06349206349206349,0.049019607843137254,0.07142857142857142,0.04819277108433735,0.06796116504854369,0.056179775280898875,0.10576923076923077
Gen_11,0.08571428571428572,0.11,0.0707070707070707,0.10526315789473684,0.08333333333333333,0.10619469026548672,0.08737864077669903,0.136,0.07476635514018691,0.13,0.06741573033707865,0.102803738317757,0.07368421052631578,0.16037735849056603
Gen_12,0.10377358490566038,0.07547169811320754,0.11224489795918367,0.10256410256410256,0.10309278350515463,0.11304347826086956,0.13861386138613863,0.09022556390977443,0.07272727272727272,0.10476190476190476,0.10112359550561797,0.12037037037037036,0.09375,0.11504424778761062
Gen_13,0.09803921568627451,0.12371134020618557,0.11827956989247312,0.12727272727272726,0.0625,0.10810810810810811,0.0784313725490196,0.10236220472440945,0.0660377358490566,0.14432989690721648,0.056818181818181816,0.10476190476190476,0.08695652173913043,0.12037037037037036
Gen_14,0.08333333333333333,0.09782608695652174,0.09090909090909091,0.10476190476190476,0.11904761904761904,0.10576923076923077,0.12087912087912088,0.11864406779661017,0.08247422680412371,0.10752688172043011,0.11842105263157894,0.1134020618556701,0.08235294117647059,0.10784313725490197
Gen_15,0.10256410256410256,0.09565217391304348,0.09009009009009009,0.128,0.11214953271028037,0.12903225806451613,0.10434782608695652,0.13768115942028986,0.1016949152542373,0.13274336283185842,0.057692307692307696,0.11764705882352941,0.08333333333333333,0.15
Gen_16,0.08035714285714286,0.09259259259259259,0.0660377358490566,0.10833333333333334,0.08823529411764706,0.11864406779661017,0.11214953271028037,0.11194029850746269,0.07017543859649122,0.09090909090909091,0.0625,0.08695652173913043,0.06862745098039216,0.14035087719298245
Gen_17,0.09523809523809523,0.09803921568627451,0.07,0.10434782608695652,0.08247422680412371,0.11504424778761062,0.10784313725490197,0.1171875,0.08411214953271028,0.10679611650485436,0.054945054945054944,0.09174311926605505,0.09574468085106383,0.1588785046728972
Gen_18,0.09345794392523364,0.14,0.09,0.11206896551724138,0.08080808080808081,0.12280701754385964,0.08490566037735849,0.15079365079365079,0.102803738317757,0.16,0.07692307692307693,0.11009174311926606,0.07142857142857142,0.16666666666666666
Gen_19,0.10434782608695652,0.12727272727272726,0.12264150943396226,0.13934426229508196,0.11428571428571428,0.1694915254237288,0.12612612612612611,0.13138686131386862,0.12280701754385964,0.125,0.125,0.11965811965811966,0.10576923076923077,0.20353982300884957
Gen_20,0.10101010101010101,0.15217391304347827,0.08602150537634409,0.1308411214953271,0.11235955056179775,0.1320754716981132,0.10309278350515463,0.15126050420168066,0.0891089108910891,0.125,0.08433734939759036,0.1188118811881188,0.10227272727272728,0.1568627450980392
Gen_21,0.09259259259259259,0.09523809523809523,0.0891089108910891,0.1016949152542373,0.09090909090909091,0.13157894736842105,0.11538461538461539,0.12307692307692308,0.12264150943396226,0.11428571428571428,0.06451612903225806,0.0990990990990991,0.10416666666666667,0.1651376146788991
Gen_22,0.08737864077669903,0.10101010101010101,0.10638297872340426,0.09734513274336283,0.0851063829787234,0.10810810810810811,0.1,0.12903225806451613,0.08653846153846154,0.12121212121212122,0.06896551724137931,0.13725490196078433,0.08695652173913043,0.12037037037037036
Gen_23,0.1092436974789916,0.06611570247933884,0.08771929824561403,0.13385826771653545,0.10909090909090909,0.1349206349206349,0.1111111111111111,0.1111111111111111,0.10833333333333334,0.09166666666666666,0.0761904761904762,0.0967741935483871,0.10091743119266056,0.11904761904761904
Gen_24,0.0703125,0.12605042016806722,0.075,0.11194029850746269,0.10434782608695652,0.1297709923664122,0.08870967741935484,0.13013698630136986,0.104,0.10569105691056911,0.09259259259259259,0.11023622047244094,0.08695652173913043,0.14960629921259844
Gen_25,0.11827956989247312,0.1348314606741573,0.10344827586206896,0.13725490196078433,0.10588235294117647,0.13861386138613863,0.12087912087912088,0.1282051282051282,0.09375,0.19767441860465115,0.08974358974358974,0.125,0.12195121951219512,0.1414141414141414
Gen_26,0.09259259259259259,0.10576923076923077,0.06796116504854369,0.1111111111111111,0.10204081632653061,0.1415929203539823,0.10476190476190476,0.11450381679389313,0.09174311926605505,0.13592233009708737,0.06451612903225806,0.08928571428571429,0.08163265306122448,0.15454545454545454
Gen_27,0.07017543859649122,0.12264150943396226,0.08571428571428572,0.072,0.06666666666666667,0.07258064516129033,0.09090909090909091,0.0948905109489051,0.0603448275862069,0.1,0.05102040816326531,0.06779661016949153,0.0784313725490196,0.09166666666666666
Gen_28,0.08333333333333333,0.08641975308641975,0.0641025641025641,0.10752688172043011,0.0945945945945946,0.0967741935483871,0.1125,0.11214953271028037,0.05747126436781609,0.0975609756097561,0.043478260869565216,0.09195402298850575,0.05333333333333334,0.1111111111111111
Gen_29,0.06451612903225806,0.11206896551724138,0.10714285714285714,0.09090909090909091,0.08928571428571429,0.1171875,0.0743801652892562,0.15942028985507245,0.09917355371900827,0.1391304347826087,0.0660377358490566,0.0967741935483871,0.061946902654867256,0.14634146341463414
Gen_30,0.0660377358490566,0.12244897959183673,0.07142857142857142,0.08695652173913043,0.11956521739130435,0.09734513274336283,0.12121212121212122,0.08461538461538462,0.07547169811320754,0.06666666666666667,0.06818181818181818,0.08333333333333333,0.07446808510638298,0.14018691588785046
Gen_31,0.10416666666666667,0.11956521739130435,0.08888888888888889,0.1346153846153846,0.11627906976744186,0.13592233009708737,0.10638297872340426,0.1452991452991453,0.09183673469387756,0.15384615384615385,0.0875,0.1111111111111111,0.09302325581395349,0.16161616161616163
Gen_32,0.09259259259259259,0.10576923076923077,0.13402061855670103,0.1111111111111111,0.08,0.09322033898305085,0.10476190476190476,0.11450381679389313,0.08181818181818182,0.125,0.08791208791208792,0.12962962962962962,0.09278350515463918,0.10434782608695652
Gen_33,0.08181818181818182,0.07407407407407407,0.08823529411764706,0.09166666666666666,0.12371134020618557,0.1016949152542373,0.11428571428571428,0.10526315789473684,0.10091743119266056,0.09259259259259259,0.12359550561797752,0.09821428571428571,0.07,0.11304347826086956
Gen_34,0.1282051282051282,0.13157894736842105,0.14814814814814814,0.125,0.08928571428571429,0.12598425196850394,0.16071428571428573,0.11888111888111888,0.09917355371900827,0.11965811965811966,0.10784313725490197,0.14285714285714285,0.12149532710280374,0.13709677419354838
Gen_35,0.11,0.1368421052631579,0.08421052631578947,0.17142857142857143,0.10989010989010989,0.18446601941747573,0.14736842105263157,0.16806722689075632,0.08737864077669903,0.15789473684210525,0.08235294117647059,0.12745098039215685,0.1,0.17647058823529413
Gen_36,0.05128205128205128,0.1320754716981132,0.09523809523809523,0.10655737704918032,0.1188118811881188,0.12605042016806722,0.1,0.11851851851851852,0.12727272727272726,0.08928571428571429,0.050505050505050504,0.10434782608695652,0.07766990291262135,0.1282051282051282
Gen_37,0.10476190476190476,0.10784313725490197,0.08,0.13274336283185842,0.09278350515463918,0.15454545454545454,0.09615384615384616,0.125,0.09345794392523364,0.10576923076923077,0.12790697674418605,0.1111111111111111,0.09473684210526316,0.12612612612612611
Gen_38,0.07377049180327869,0.11304347826086956,0.06956521739130435,0.10852713178294573,0.08035714285714286,0.109375,0.09322033898305085,0.09655172413793103,0.11864406779661017,0.1016949152542373,0.05660377358490566,0.0975609756097561,0.08181818181818182,0.12903225806451613
Gen_39,0.09090909090909091,0.10377358490566038,0.05660377358490566,0.1092436974789916,0.0784313725490196,0.1391304347826087,0.09259259259259259,0.13846153846153847,0.06140350877192982,0.14423076923076922,0.052083333333333336,0.06896551724137931,0.08,0.19444444444444445
Gen_40,0.09375,0.0851063829787234,0.0898876404494382,0.10377358490566038,0.10465116279069768,0.11538461538461539,0.13186813186813187,0.14655172413793102,0.08163265306122448,0.10638297872340426,0.11688311688311688,0.11224489795918367,0.09411764705882353,0.11764705882352941
Gen_41,0.0660377358490566,0.1,0.11702127659574468,0.07758620689655173,0.07291666666666667,0.08771929824561403,0.12121212121212122,0.11023622047244094,0.07547169811320754,0.08737864077669903,0.10588235294117647,0.09345794392523364,0.08602150537634409,0.10909090909090909
Gen_42,0.0859375,0.11475409836065574,0.08264462809917356,0.09420289855072464,0.075,0.10294117647058823,0.096,0.1360544217687075,0.10236220472440945,0.12195121951219512,0.043478260869565216,0.1,0.08547008547008547,0.13846153846153847
Gen_43,0.10204081632653061,0.07142857142857142,0.06382978723404255,0.10091743119266056,0.08888888888888889,0.12264150943396226,0.11578947368421053,0.088,0.11224489795918367,0.10309278350515463,0.05952380952380952,0.09803921568627451,0.09090909090909091,0.125
Gen_44,0.09523809523809523,0.12,0.08080808080808081,0.10434782608695652,0.10526315789473684,0.11504424778761062,0.0970873786407767,0.1349206349206349,0.09433962264150944,0.11764705882352941,0.06666666666666667,0.08181818181818182,0.08421052631578947,0.19230769230769232
Gen_45,0.07368421052631578,0.07608695652173914,0.09302325581395349,0.10679611650485436,0.08235294117647059,0.1188118811881188,0.1111111111111111,0.1016949152542373,0.09574468085106383,0.12222222222222222,0.05063291139240506,0.11578947368421053,0.07142857142857142,0.09900990099009901
Gen_46,0.09836065573770492,0.11016949152542373,0.11504424778761062,0.11450381679389313,0.09734513274336283,0.12403100775193798,0.08196721311475409,0.125,0.0975609756097561,0.11764705882352941,0.07476635514018691,0.12195121951219512,0.07964601769911504,0.144
Gen_47,0.09345794392523364,0.06542056074766354,0.07920792079207921,0.09322033898305085,0.10309278350515463,0.11304347826086956,0.09523809523809523,0.11538461538461539,0.102803738317757,0.09433962264150944,0.08888888888888889,0.12037037037037036,0.08247422680412371,0.14545454545454545
Gen_48,0.09174311926605505,0.09433962264150944,0.0673076923076923,0.10084033613445378,0.10101010101010101,0.1206896551724138,0.11428571428571428,0.09701492537313433,0.1111111111111111,0.11320754716981132,0.06382978723404255,0.10810810810810811,0.08080808080808081,0.10344827586206896
Gen_49,0.10416666666666667,0.09574468085106383,0.08888888888888889,0.11320754716981132,0.12941176470588237,0.125,0.11827956989247312,0.12605042016806722,0.08080808080808081,0.09375,0.10126582278481013,0.1111111111111111,0.08045977011494253,0.13861386138613863
Gen_50,0.11538461538461539,0.0970873786407767,0.1134020618556701,0.10344827586206896,0.09278350515463918,0.11403508771929824,0.12871287128712872,0.1076923076923077,0.125,0.13861386138613863,0.07777777777777778,0.1320754716981132,0.11827956989247312,0.12612612612612611
Gen_51,0.11,0.1368421052631579,0.10752688172043011,0.11818181818181818,0.08602150537634409,0.11926605504587157,0.09,0.12096774193548387,0.05660377358490566,0.12244897959183673,0.08235294117647059,0.10576923076923077,0.1,0.09090909090909091
Gen_52,0.058823529411764705,0.08247422680412371,0.07526881720430108,0.08108108108108109,0.08888888888888889,0.08181818181818182,0.08163265306122448,0.10569105691056911,0.06862745098039216,0.09183673469387756,0.08536585365853659,0.08737864077669903,0.06666666666666667,0.14705882352941177
Gen_53,0.07258064516129033,0.09243697478991597,0.08695652173913043,0.08208955223880597,0.09821428571428571,0.09923664122137404,0.07377049180327869,0.10273972602739725,0.08943089430894309,0.1092436974789916,0.08571428571428572,0.10483870967741936,0.06140350877192982,0.136
Gen_54,0.08,0.09375,0.1111111111111111,0.09090909090909091,0.11363636363636363,0.10185185185185185,0.10416666666666667,0.10569105691056911,0.12371134020618557,0.10309278350515463,0.09876543209876543,0.14285714285714285,0.09090909090909091,0.11428571428571428
Gen_55,0.1,0.09183673469387756,0.0625,0.10909090909090909,0.08695652173913043,0.11009174311926606,0.08,0.104,0.0673076923076923,0.09,0.10975609756097561,0.09615384615384616,0.08888888888888889,0.14423076923076922
Gen_56,0.11304347826086956,0.1574074074074074,0.10091743119266056,0.13821138211382114,0.12380952380952381,0.13934426229508196,0.10526315789473684,0.17293233082706766,0.11206896551724138,0.14414414414414414,0.09,0.11864406779661017,0.11538461538461539,0.17094017094017094
Gen_57,0.10185185185185185,0.08411214953271028,0.08823529411764706,0.11965811965811966,0.10101010101010101,0.13043478260869565,0.09345794392523364,0.13076923076923078,0.08108108108108109,0.12380952380952381,0.07526881720430108,0.12844036697247707,0.08080808080808081,0.11304347826086956
